% Graph saved at Thu Dec 18 2025 17:03:36 GMT+0200 (за східноєвропейським стандартним часом)
n 85.20789568937278 342.6881067961165 0
n 191.5370096134234 243.1735436893204 1
n 285.68256233311905 120.6007281553398 6
n 531.5686382824861 421.5716019417476 12
n 385.3661066369166 307.49393203883494 13
n 321.12560030780264 217.6881067961165 14
n 521.6002838521064 221.32888349514562 15
n 633.4673724597014 121.81432038834951 16
n 702.1382585356507 266.2317961165049 17
n 504.9863598014735 62.34830097087379 18
n 442.96104334577734 115.74635922330097 19
n 224.7648577146892 -34.73907766990291 20
n 208.1509336640563 490.74635922330094 21
e 0 1 9 -2
e 1 6 13 4
e 12 13 22 3
e 6 14 25 3
e 1 14 26 3
e 14 15 27 6
e 14 13 28 17
e 15 12 29 10
e 15 16 30 7
e 16 18 32 4
e 13 19 33 1
e 19 18 34 5
e 18 20 35 9
e 19 20 36 4
e 20 0 37 1
e 16 17 38 3
e 17 12 39 7
e 12 0 40 -1
e 12 21 41 2
e 21 14 42 -2
e 15 21 43 1
e 13 17 52 5
