% Graph saved at Thu Dec 18 2025 21:06:42 GMT+0200 (за східноєвропейським стандартним часом)
n -12.62965141972409 288.07645631067965 1
n 139.11085490938981 192.20266990291262 2
n 239.90199414989615 98.75606796116506 3
n 264.2690827574911 229.8240291262136 4
n 469.1741460486303 232.251213592233 5
n 474.71212073217464 487.1055825242718 6
n 377.2437663017949 315.98907766990294 7
n 691.8007283271113 329.3385922330097 8
n 399.3956650359721 116.95995145631068 9
n 558.8893359220481 143.65898058252426 10
n 443.6994625043265 45.35800970873787 11
n 70.43996883344047 420.3580097087379 12
n 72.65515870685819 41.71723300970874 13
e 1 2 10 -2
e 2 3 11 4
e 3 4 12 3
e 2 4 13 3
e 4 7 14 17
e 4 5 15 6
e 5 6 16 10
e 5 10 17 7
e 8 6 18 7
e 10 8 19 3
e 6 7 20 3
e 6 12 21 2
e 6 1 22 -1
e 12 4 23 -2
e 13 1 24 1
e 7 9 25 1
e 9 11 26 5
e 10 11 27 4
e 11 13 28 9
e 7 8 29 5
e 5 12 30 1
