% Graph saved at Mon Dec 15 2025 19:13:51 GMT+0200 (за східноєвропейським стандартним часом)
n 18.30065359477124 462.2448999054578 0
n 61.76470588235294 166.32652282714844 6
n 160.13071895424835 -8.418375132035235 7
n 346.5686274509804 17.091828949597417 8
n 447.2222222222222 314.28572596335897 9
n 554.7385620915032 240.30611466388314 10
n 448.3660130718954 538.7755121503558 11
n 242.48366013071896 390.816338208257 12
n 718.3006535947711 328.316338208257 13
n 725.1633986928106 175.25509425571985 14
n 539.8692810457517 135.71427792918925 15
n 443.7908496732026 17.091828949597417 21
n 577.6143790849673 14.540808541434151 22
e 0 6 14 90
e 6 7 15 85
e 6 8 16 70
e 7 8 17 96
e 8 9 18 75
e 8 10 19 80
e 10 11 20 98
e 11 9 21 89
e 11 12 22 80
e 10 12 23 79
e 12 8 24 80
e 11 0 25 69
e 9 13 26 78
e 13 11 27 100
e 10 14 28 120
e 14 13 29 73
e 13 15 30 89
e 9 15 37 95
e 15 21 39 75
e 15 22 40 145
e 14 22 41 124
e 22 21 42 145
e 21 0 43 90
